,Date,pH,COD (mg/L),BOD (mg/L),TSS,Oil & Grease (mg/L),Ammonical Nitrogen (mg/L)
0,2020-01-01,7.8,1120,330,500,26.4,221.0
1,2020-01-02,7.8,1120,330,500,26.4,221.0
2,2020-01-03,7.8,1120,330,500,26.4,221.0
3,2020-01-04,7.8,1120,330,500,26.4,221.0
4,2020-01-05,7.8,1120,330,500,26.4,221.0
5,2020-01-06,7.8,1120,330,500,26.4,221.0
6,2020-01-07,7.8,1120,330,500,26.4,221.0
7,2020-01-08,7.8,1120,330,500,26.4,221.0
8,2020-01-09,7.8,1120,330,500,26.4,221.0
9,2020-01-10,7.8,1120,330,500,26.4,221.0
10,2020-01-11,7.8,1120,330,500,26.4,221.0
11,2020-01-12,7.8,1120,330,500,26.4,221.0
12,2020-01-13,7.8,1120,330,500,26.4,221.0
13,2020-01-14,7.8,1120,330,500,26.4,221.0
14,2020-01-15,7.8,1120,330,500,26.4,221.0
15,2020-01-16,7.8,1120,330,500,26.4,221.0
16,2020-01-17,7.8,1120,330,500,26.4,221.0
17,2020-01-18,7.8,1120,330,500,26.4,221.0
18,2020-01-19,7.8,1120,330,500,26.4,221.0
19,2020-01-20,7.8,1120,330,500,26.4,221.0
20,2020-01-21,7.8,1120,330,500,26.4,221.0
21,2020-01-22,7.8,1120,330,500,26.4,221.0
22,2020-01-23,7.8,1120,330,500,26.4,221.0
23,2020-01-24,7.8,1120,330,500,26.4,221.0
24,2020-01-25,7.8,1120,330,500,26.4,221.0
25,2020-01-26,7.8,1120,330,500,26.4,221.0
26,2020-01-27,7.8,1120,330,500,26.4,221.0
27,2020-01-28,7.8,1120,330,500,26.4,221.0
28,2020-01-29,7.8,1120,330,500,26.4,221.0
29,2020-01-30,7.8,1120,330,500,26.4,221.0
30,2020-01-31,7.8,1120,330,500,26.4,221.0
31,2020-02-01,7.8,1120,330,500,26.4,221.0
32,2020-02-02,7.8,1120,330,500,26.4,221.0
33,2020-02-03,7.8,1120,330,500,26.4,221.0
34,2020-02-04,7.8,1120,330,500,26.4,221.0
35,2020-02-05,7.8,1120,330,500,26.4,221.0
36,2020-02-06,7.8,1120,330,500,26.4,221.0
37,2020-02-07,7.8,1120,330,500,26.4,221.0
38,2020-02-08,7.8,1120,330,500,26.4,221.0
39,2020-02-09,7.8,1120,330,500,26.4,221.0
40,2020-02-10,7.8,1120,330,500,26.4,221.0
41,2020-02-11,7.8,1120,330,500,26.4,221.0
42,2020-02-12,7.8,1120,330,500,26.4,221.0
43,2020-02-13,7.8,1120,330,500,26.4,221.0
44,2020-02-14,7.8,1120,330,500,26.4,221.0
45,2020-02-15,7.8,1120,330,500,26.4,221.0
46,2020-02-16,7.8,1120,330,500,26.4,221.0
47,2020-02-17,7.8,1120,330,500,26.4,221.0
48,2020-02-18,7.8,1120,330,500,26.4,221.0
49,2020-02-19,7.8,1120,330,500,26.4,221.0
50,2020-02-20,7.8,1120,330,500,26.4,221.0
51,2020-02-21,7.8,1120,330,500,26.4,221.0
52,2020-02-22,7.8,1120,330,500,26.4,221.0
53,2020-02-23,7.8,1120,330,500,26.4,221.0
54,2020-02-24,7.8,1120,330,500,26.4,221.0
55,2020-02-25,7.8,1120,330,500,26.4,221.0
56,2020-02-26,7.8,1120,330,500,26.4,221.0
57,2020-02-27,7.8,1120,330,500,26.4,221.0
58,2020-02-28,7.8,1120,330,500,26.4,221.0
59,2020-02-29,7.8,1120,330,500,26.4,221.0
60,2020-03-01,5.8,592,194,370,28.4,221.0
61,2020-03-02,5.8,592,194,370,28.4,221.0
62,2020-03-03,5.8,592,194,370,28.4,221.0
63,2020-03-04,5.8,592,194,370,28.4,221.0
64,2020-03-05,5.8,592,194,370,28.4,221.0
65,2020-03-06,5.8,592,194,370,28.4,221.0
66,2020-03-07,5.8,592,194,370,28.4,221.0
67,2020-03-08,5.8,592,194,370,28.4,221.0
68,2020-03-09,5.8,592,194,370,28.4,221.0
69,2020-03-10,5.8,592,194,370,28.4,221.0
70,2020-03-11,5.8,592,194,370,28.4,221.0
71,2020-03-12,5.8,592,194,370,28.4,221.0
72,2020-03-13,5.8,592,194,370,28.4,221.0
73,2020-03-14,5.8,592,194,370,28.4,221.0
