,Date,Rainfall [mm],Air Temperature [C],Wind Speed [m/s],Relative Humidity (%),Solar Radiation [MJ/m^2],,Water Surface Temperature [C],NDTI,pH,COD (mg/L),BOD (mg/L),TSS,Oil & Grease (mg/L),Ammonical Nitrogen (mg/L),NDCI
0,2020-01-01,0,10.62094205,1.809638481,72.977856,,13395416,14.04234973,-0.02891,7.8,1120,330,500,26.4,221,0.0716
1,2020-01-02,0,14.0490935,2.256784863,74.38543424,,13285615.5,16.35355972,-0.02869,7.8,1120,330,500,26.4,221,0.0722
2,2020-01-03,2.208221555,14.43082517,0.5085446685,75.774544,,12764878.25,17.2187744,-0.02846,7.8,1120,330,500,26.4,221,0.0728
3,2020-01-04,0,13.75128771,1.296588243,73.47793957,,12650305.75,17.33604215,-0.02823,7.8,1120,330,500,26.4,221,0.0734
4,2020-01-05,0,14.16736946,2.172828153,68.96907113,,14080280.75,17.45330991,-0.028,7.8,1120,330,500,26.4,221,0.074
5,2020-01-06,21.99834983,13.86316007,1.248824155,74.28589134,,7396245.5,17.03424668,-0.0228,7.8,1120,330,500,26.4,221,0.0644
6,2020-01-07,3.030420184,14.73510958,2.335140393,84.53724932,,8573098.25,16.61518345,-0.0176,7.8,1120,330,500,26.4,221,0.0548
7,2020-01-08,0,12.2173687,0.7579593294,89.63748182,,4972159.25,16.19612022,-0.0124,7.8,1120,330,500,26.4,221,0.0452
8,2020-01-09,0,10.25576681,3.036283237,73.94690784,,14995890.75,15.77705699,-0.0072,7.8,1120,330,500,26.4,221,0.0356
9,2020-01-10,0,10.91692505,3.090784585,72.5729768,,15272597.5,15.35799375,-0.002,7.8,1120,330,500,26.4,221,0.026
10,2020-01-11,0,11.53279711,2.423804064,69.60794319,,13508478.25,16.6587744,-0.015,7.8,1120,330,500,26.4,221,0.0254
11,2020-01-12,0,12.671359,0.9841053526,70.70827827,,14810589.25,17.27154567,-0.028,7.8,1120,330,500,26.4,221,0.0248
12,2020-01-13,2.236102045,15.31237501,1.161076476,80.91241882,,11642695,17.1432969,-0.041,7.8,1120,330,500,26.4,221,0.0242
13,2020-01-14,0,13.58158773,1.99002097,85.67790793,,8126889.5,17.01504814,-0.054,7.8,1120,330,500,26.4,221,0.0236
14,2020-01-15,0,13.89441325,1.777459613,73.04907337,,14196250.75,16.88679938,-0.067,7.8,1120,330,500,26.4,221,0.023
15,2020-01-16,2.534645319,13.16430435,2.097214971,84.86577657,,9592423,16.19049805,-0.0663,7.8,1120,330,500,26.4,221,0.0212
16,2020-01-17,0,12.8945315,1.46138999,86.59760331,,9854155.5,15.49419672,-0.0656,7.8,1120,330,500,26.4,221,0.0194
17,2020-01-18,0,12.10045904,1.42737221,84.52000602,,10210212.75,15.21145043,-0.0649,7.8,1120,330,500,26.4,221,0.0176
18,2020-01-19,0,11.77126083,2.450958085,82.82091614,,14730685.75,14.92870414,-0.0642,7.8,1120,330,500,26.4,221,0.0158
19,2020-01-20,0,12.28928274,1.709091565,82.30074001,,12960310,15.51346084,-0.0635,7.8,1120,330,500,26.4,221,0.014
20,2020-01-21,0,12.92242521,0.828906965,80.95117376,,14287186.5,16.09821754,-0.0628,7.8,1120,330,500,26.4,221,0.0122
21,2020-01-22,0,13.17443364,3.054617218,77.321424,,15725429.5,16.68297424,-0.0621,7.8,1120,330,500,26.4,221,0.0104
22,2020-01-23,2.566428602,12.65393664,4.452138283,61.50383115,,16525265.25,17.28766587,-0.0614,7.8,1120,330,500,26.4,221,0.0086
23,2020-01-24,0,12.69128888,3.76502338,59.31680059,,16660510.75,15.9480484,-0.0607,7.8,1120,330,500,26.4,221,0.0068
24,2020-01-25,0,12.38391457,1.594520692,72.66121862,,16243384.5,18.60261514,-0.06,7.8,1120,330,500,26.4,221,0.005
25,2020-01-26,0,14.01824786,1.809164024,76.14234057,,15999165,18.22150664,-0.0602,7.8,1120,330,500,26.4,221,0.0108
26,2020-01-27,0,14.95951042,2.132746719,74.72880225,,11542995.25,18.17773354,-0.0604,7.8,1120,330,500,26.4,221,0.0166
27,2020-01-28,0,14.56656672,2.044149154,84.88419936,,11385680.5,18.13396045,-0.0606,7.8,1120,330,500,26.4,221,0.0224
28,2020-01-29,0,12.89215368,1.856648283,79.17904165,,12958743.25,18.09018735,-0.0608,7.8,1120,330,500,26.4,221,0.0282
29,2020-01-30,0,12.91028875,3.147626826,71.42735738,,16429362.25,17.71396483,-0.061,7.8,1120,330,500,26.4,221,0.034
30,2020-01-31,0,12.11140594,1.976353205,74.97399334,,16292031.25,17.98336456,-0.055,7.8,1120,330,500,26.4,221,0.0324
31,2020-02-01,0,12.24197731,1.81701473,72.65632317,,16017287.5,16.83997658,-0.049,7.8,1120,330,500,26.4,221,0.0308
32,2020-02-02,0,12.18245786,2.845120196,74.4640043,,17399877,17.87441842,-0.043,7.8,1120,330,500,26.4,221,0.0292
33,2020-02-03,0,12.49901416,1.299779287,71.43701556,,17628301.75,19.14623731,-0.037,7.8,1120,330,500,26.4,221,0.0276
34,2020-02-04,0,12.83560905,1.040071937,72.10799186,,17239205.5,17.60968774,-0.031,7.8,1120,330,500,26.4,221,0.026
35,2020-02-05,0,13.15429141,2.90244672,70.40633146,,17097811.75,19.41565183,-0.0322,7.8,1120,330,500,26.4,221,0.0182
36,2020-02-06,0,11.9361702,0.8948101555,71.03172107,,17716564.5,18.42389539,-0.0334,7.8,1120,330,500,26.4,221,0.0104
37,2020-02-07,0,12.53368467,1.856915917,68.70019006,,15899384.75,18.30862607,-0.0346,7.8,1120,330,500,26.4,221,0.0026
38,2020-02-08,0,12.69308243,2.31312862,70.82773385,,18033161.5,17.31096799,-0.0358,7.8,1120,330,500,26.4,221,-0.0052
39,2020-02-09,0,13.21234856,2.036692258,69.22438387,,18323966.75,18.91251366,-0.037,7.8,1120,330,500,26.4,221,-0.013
40,2020-02-10,0,13.20094515,2.078863726,68.83005989,,18548078.25,18.2828025,-0.0358,7.8,1120,330,500,26.4,221,-0.0082
41,2020-02-11,0,13.68181445,2.136909603,67.7122657,,18573563.75,19.91001561,-0.0346,7.8,1120,330,500,26.4,221,-0.0034
42,2020-02-12,0,16.78157578,3.824779382,61.49938953,,18151447.5,19.99129586,-0.0334,7.8,1120,330,500,26.4,221,0.0014
