Date,mean_NDTI
2019-01-05,-0.062
2019-01-06,-0.061
2019-01-07,-0.06
2019-01-08,-0.059
2019-01-09,-0.058
2019-01-10,-0.057
2019-01-11,-0.05713
2019-01-12,-0.05727
2019-01-13,-0.0574
2019-01-14,-0.05753
2019-01-15,-0.05767
2019-01-16,-0.0578
2019-01-17,-0.05793
2019-01-18,-0.05807
2019-01-19,-0.0582
2019-01-20,-0.05833
2019-01-21,-0.05847
2019-01-22,-0.0586
2019-01-23,-0.05873
2019-01-24,-0.05887
2019-01-25,-0.059
2019-01-26,-0.05627
2019-01-27,-0.05353
2019-01-28,-0.0508
2019-01-29,-0.04807
2019-01-30,-0.04533
2019-01-31,-0.0426
2019-02-01,-0.03987
2019-02-02,-0.03713
2019-02-03,-0.0344
2019-02-04,-0.03167
2019-02-05,-0.02893
2019-02-06,-0.0262
2019-02-07,-0.02347
2019-02-08,-0.02073
2019-02-09,-0.018
2019-02-10,-0.02113
2019-02-11,-0.02427
2019-02-12,-0.0274
2019-02-13,-0.03053
2019-02-14,-0.03367
2019-02-15,-0.0368
2019-02-16,-0.03993
2019-02-17,-0.04307
2019-02-18,-0.0462
2019-02-19,-0.04933
2019-02-20,-0.05247
2019-02-21,-0.0556
2019-02-22,-0.05873
2019-02-23,-0.06187
2019-02-24,-0.065
2019-02-25,-0.0602
2019-02-26,-0.0554
2019-02-27,-0.0506
2019-02-28,-0.0458
2019-03-01,-0.041
2019-03-02,-0.0498
2019-03-03,-0.0586
2019-03-04,-0.0674
2019-03-05,-0.0762
2019-03-06,-0.085
2019-03-07,-0.0658
2019-03-08,-0.0466
2019-03-09,-0.0274
2019-03-10,-0.0082
2019-03-11,0.011
2019-03-12,-0.001
2019-03-13,-0.013
2019-03-14,-0.025
2019-03-15,-0.037
2019-03-16,-0.049
2019-03-17,-0.0512
2019-03-18,-0.0534
2019-03-19,-0.0556
2019-03-20,-0.0578
2019-03-21,-0.06
2019-03-22,-0.0438
2019-03-23,-0.0276
2019-03-24,-0.0114
2019-03-25,0.0048
2019-03-26,0.021
2019-03-27,0.0532
2019-03-28,0.0854
2019-03-29,0.1176
2019-03-30,0.1498
2019-03-31,0.182
2019-04-01,0.1408
2019-04-02,0.0996
2019-04-03,0.0584
2019-04-04,0.0172
2019-04-05,-0.024
2019-04-06,-0.0208
2019-04-07,-0.0176
2019-04-08,-0.0144
2019-04-09,-0.0112
2019-04-10,-0.008
2019-04-11,-0.0146
2019-04-12,-0.0212
2019-04-13,-0.0278
2019-04-14,-0.0344
2019-04-15,-0.041
2019-04-16,-0.051
2019-04-17,-0.061
2019-04-18,-0.071
2019-04-19,-0.081
2019-04-20,-0.091
2019-04-21,-0.0678
2019-04-22,-0.0446
2019-04-23,-0.0214
2019-04-24,0.0018
2019-04-25,0.025
2019-04-26,0.0222
2019-04-27,0.0194
2019-04-28,0.0166
2019-04-29,0.0138
2019-04-30,0.011
2019-05-01,-0.004
2019-05-02,-0.019
2019-05-03,-0.034
2019-05-04,-0.049
2019-05-05,-0.064
2019-05-06,-0.0554
2019-05-07,-0.0468
2019-05-08,-0.0382
2019-05-09,-0.0296
2019-05-10,-0.021
2019-05-11,-0.0209
2019-05-12,-0.0208
2019-05-13,-0.0207
2019-05-14,-0.0206
2019-05-15,-0.0205
2019-05-16,-0.0204
2019-05-17,-0.0203
2019-05-18,-0.0202
2019-05-19,-0.0201
2019-05-20,-0.02
2019-05-21,-0.0268
2019-05-22,-0.0336
2019-05-23,-0.0404
2019-05-24,-0.0472
2019-05-25,-0.054
2019-05-26,-0.0536
2019-05-27,-0.0532
2019-05-28,-0.0528
2019-05-29,-0.0524
2019-05-30,-0.052
2019-05-31,-0.0372
2019-06-01,-0.0224
2019-06-02,-0.0076
2019-06-03,0.0072
2019-06-04,0.022
2019-06-05,0.008
2019-06-06,-0.006
2019-06-07,-0.02
2019-06-08,-0.034
2019-06-09,-0.048
2019-06-10,-0.0334
2019-06-11,-0.0188
2019-06-12,-0.0042
2019-06-13,0.0104
2019-06-14,0.025
2019-06-15,0.02153
2019-06-16,0.01807
2019-06-17,0.0146
2019-06-18,0.01113
2019-06-19,0.00767
2019-06-20,0.0042
2019-06-21,0.00073
2019-06-22,-0.00273
2019-06-23,-0.0062
2019-06-24,-0.00967
2019-06-25,-0.01313
2019-06-26,-0.0166
2019-06-27,-0.02007
2019-06-28,-0.02353
2019-06-29,-0.027
2019-06-30,-0.02742
2019-07-01,-0.02785
2019-07-02,-0.02828
2019-07-03,-0.0287
2019-07-04,-0.02912
2019-07-05,-0.02955
2019-07-06,-0.02998
2019-07-07,-0.0304
2019-07-08,-0.03082
2019-07-09,-0.03125
2019-07-10,-0.03168
2019-07-11,-0.0321
2019-07-12,-0.03252
2019-07-13,-0.03295
2019-07-14,-0.03338
2019-07-15,-0.0338
2019-07-16,-0.03422
2019-07-17,-0.03465
2019-07-18,-0.03507
2019-07-19,-0.0355
2019-07-20,-0.03592
2019-07-21,-0.03635
2019-07-22,-0.03677
2019-07-23,-0.0372
2019-07-24,-0.03762
2019-07-25,-0.03805
2019-07-26,-0.03847
2019-07-27,-0.0389
2019-07-28,-0.03932
2019-07-29,-0.03975
2019-07-30,-0.04017
2019-07-31,-0.0406
2019-08-01,-0.04102
2019-08-02,-0.04145
2019-08-03,-0.04188
2019-08-04,-0.0423
2019-08-05,-0.04272
2019-08-06,-0.04315
2019-08-07,-0.04358
2019-08-08,-0.044
2019-08-09,-0.04147
2019-08-10,-0.03893
2019-08-11,-0.0364
2019-08-12,-0.03387
2019-08-13,-0.03133
2019-08-14,-0.0288
2019-08-15,-0.02627
2019-08-16,-0.02373
2019-08-17,-0.0212
2019-08-18,-0.01867
2019-08-19,-0.01613
2019-08-20,-0.0136
2019-08-21,-0.01107
2019-08-22,-0.00853
2019-08-23,-0.006
2019-08-24,-0.0176
2019-08-25,-0.0292
2019-08-26,-0.0408
2019-08-27,-0.0524
2019-08-28,-0.064
2019-08-29,-0.0686
2019-08-30,-0.0732
2019-08-31,-0.0778
2019-09-01,-0.0824
2019-09-02,-0.087
2019-09-03,-0.08657
2019-09-04,-0.08613
2019-09-05,-0.0857
2019-09-06,-0.08527
2019-09-07,-0.08483
2019-09-08,-0.0844
2019-09-09,-0.08397
2019-09-10,-0.08353
2019-09-11,-0.0831
2019-09-12,-0.08267
2019-09-13,-0.08223
2019-09-14,-0.0818
2019-09-15,-0.08137
2019-09-16,-0.08093
2019-09-17,-0.0805
2019-09-18,-0.08007
2019-09-19,-0.07963
2019-09-20,-0.0792
2019-09-21,-0.07877
2019-09-22,-0.07833
2019-09-23,-0.0779
2019-09-24,-0.07747
2019-09-25,-0.07703
2019-09-26,-0.0766
2019-09-27,-0.07617
2019-09-28,-0.07573
2019-09-29,-0.0753
2019-09-30,-0.07487
2019-10-01,-0.07443
2019-10-02,-0.074
2019-10-03,-0.0739
2019-10-04,-0.0738
2019-10-05,-0.0737
2019-10-06,-0.0736
2019-10-07,-0.0735
2019-10-08,-0.0734
2019-10-09,-0.0733
2019-10-10,-0.0732
2019-10-11,-0.0731
2019-10-12,-0.073
2019-10-13,-0.0694
2019-10-14,-0.0658
2019-10-15,-0.0622
2019-10-16,-0.0586
2019-10-17,-0.055
2019-10-18,-0.0581
2019-10-19,-0.0612
2019-10-20,-0.0643
2019-10-21,-0.0674
2019-10-22,-0.0705
2019-10-23,-0.0736
2019-10-24,-0.0767
2019-10-25,-0.0798
2019-10-26,-0.0829
2019-10-27,-0.086
2019-10-28,-0.0846
2019-10-29,-0.0832
2019-10-30,-0.0818
2019-10-31,-0.0804
2019-11-01,-0.079
2019-11-02,-0.0776
2019-11-03,-0.0762
2019-11-04,-0.0748
2019-11-05,-0.0734
2019-11-06,-0.072
2019-11-07,-0.0706
2019-11-08,-0.0692
2019-11-09,-0.0678
2019-11-10,-0.0664
2019-11-11,-0.065
2019-11-12,-0.0636
2019-11-13,-0.0622
2019-11-14,-0.0608
2019-11-15,-0.0594
2019-11-16,-0.058
2019-11-17,-0.05653
2019-11-18,-0.05507
2019-11-19,-0.0536
2019-11-20,-0.05213
2019-11-21,-0.05067
2019-11-22,-0.0492
2019-11-23,-0.04773
2019-11-24,-0.04627
2019-11-25,-0.0448
2019-11-26,-0.04333
2019-11-27,-0.04187
2019-11-28,-0.0404
2019-11-29,-0.03893
2019-11-30,-0.03747
2019-12-01,-0.036
2019-12-02,-0.03577
2019-12-03,-0.03554
2019-12-04,-0.03531
2019-12-05,-0.03509
2019-12-06,-0.03486
2019-12-07,-0.03463
2019-12-08,-0.0344
2019-12-09,-0.03417
2019-12-10,-0.03394
2019-12-11,-0.03371
2019-12-12,-0.03349
2019-12-13,-0.03326
2019-12-14,-0.03303
2019-12-15,-0.0328
2019-12-16,-0.03257
2019-12-17,-0.03234
2019-12-18,-0.03211
2019-12-19,-0.03189
2019-12-20,-0.03166
2019-12-21,-0.03143
2019-12-22,-0.0312
2019-12-23,-0.03097
2019-12-24,-0.03074
2019-12-25,-0.03051
2019-12-26,-0.03029
2019-12-27,-0.03006
2019-12-28,-0.02983
2019-12-29,-0.0296
2019-12-30,-0.02937
2019-12-31,-0.02914
2020-01-01,-0.02891
2020-01-02,-0.02869
2020-01-03,-0.02846
2020-01-04,-0.02823
2020-01-05,-0.028
2020-01-06,-0.0228
2020-01-07,-0.0176
2020-01-08,-0.0124
2020-01-09,-0.0072
2020-01-10,-0.002
2020-01-11,-0.015
2020-01-12,-0.028
2020-01-13,-0.041
2020-01-14,-0.054
2020-01-15,-0.067
2020-01-16,-0.0663
2020-01-17,-0.0656
2020-01-18,-0.0649
2020-01-19,-0.0642
2020-01-20,-0.0635
2020-01-21,-0.0628
2020-01-22,-0.0621
2020-01-23,-0.0614
2020-01-24,-0.0607
2020-01-25,-0.06
2020-01-26,-0.0602
2020-01-27,-0.0604
2020-01-28,-0.0606
2020-01-29,-0.0608
2020-01-30,-0.061
2020-01-31,-0.055
2020-02-01,-0.049
2020-02-02,-0.043
2020-02-03,-0.037
2020-02-04,-0.031
2020-02-05,-0.0322
2020-02-06,-0.0334
2020-02-07,-0.0346
2020-02-08,-0.0358
2020-02-09,-0.037
2020-02-10,-0.0358
2020-02-11,-0.0346
2020-02-12,-0.0334
2020-02-13,-0.0322
2020-02-14,-0.031
2020-02-15,-0.0353
2020-02-16,-0.0396
2020-02-17,-0.0439
2020-02-18,-0.0482
2020-02-19,-0.0525
2020-02-20,-0.0568
2020-02-21,-0.0611
2020-02-22,-0.0654
2020-02-23,-0.0697
2020-02-24,-0.074
2020-02-25,-0.0722
2020-02-26,-0.0704
2020-02-27,-0.0686
2020-02-28,-0.0668
2020-02-29,-0.065
2020-03-01,-0.0632
2020-03-02,-0.0614
2020-03-03,-0.0596
2020-03-04,-0.0578
2020-03-05,-0.056
2020-03-06,-0.0542
2020-03-07,-0.0524
2020-03-08,-0.0506
2020-03-09,-0.0488
2020-03-10,-0.047
2020-03-11,-0.049
2020-03-12,-0.051
2020-03-13,-0.053
2020-03-14,-0.055
2020-03-15,-0.057
2020-03-16,-0.0517
2020-03-17,-0.0464
2020-03-18,-0.0411
2020-03-19,-0.0358
2020-03-20,-0.0305
2020-03-21,-0.0252
2020-03-22,-0.0199
2020-03-23,-0.0146
2020-03-24,-0.0093
2020-03-25,-0.004
2020-03-26,-0.0142
2020-03-27,-0.0244
2020-03-28,-0.0346
2020-03-29,-0.0448
2020-03-30,-0.055
2020-03-31,-0.057
2020-04-01,-0.059
2020-04-02,-0.061
2020-04-03,-0.063
2020-04-04,-0.065
2020-04-05,-0.06547
2020-04-06,-0.06593
2020-04-07,-0.0664
2020-04-08,-0.06687
2020-04-09,-0.06733
2020-04-10,-0.0678
2020-04-11,-0.06827
2020-04-12,-0.06873
2020-04-13,-0.0692
2020-04-14,-0.06967
2020-04-15,-0.07013
2020-04-16,-0.0706
2020-04-17,-0.07107
2020-04-18,-0.07153
2020-04-19,-0.072
2020-04-20,-0.0754
2020-04-21,-0.0788
2020-04-22,-0.0822
2020-04-23,-0.0856
2020-04-24,-0.089
2020-04-25,-0.0894
2020-04-26,-0.0898
2020-04-27,-0.0902
2020-04-28,-0.0906
2020-04-29,-0.091
2020-04-30,-0.0859
2020-05-01,-0.0808
2020-05-02,-0.0757
2020-05-03,-0.0706
2020-05-04,-0.0655
2020-05-05,-0.0604
2020-05-06,-0.0553
2020-05-07,-0.0502
2020-05-08,-0.0451
2020-05-09,-0.04
2020-05-10,-0.0442
2020-05-11,-0.0484
2020-05-12,-0.0526
2020-05-13,-0.0568
2020-05-14,-0.061
2020-05-15,-0.063
2020-05-16,-0.065
2020-05-17,-0.067
2020-05-18,-0.069
2020-05-19,-0.071
2020-05-20,-0.073
2020-05-21,-0.075
2020-05-22,-0.077
2020-05-23,-0.079
2020-05-24,-0.081
2020-05-25,-0.0854
2020-05-26,-0.0898
2020-05-27,-0.0942
2020-05-28,-0.0986
2020-05-29,-0.103
2020-05-30,-0.1074
2020-05-31,-0.1118
2020-06-01,-0.1162
2020-06-02,-0.1206
2020-06-03,-0.125
2020-06-04,-0.1284
2020-06-05,-0.1318
2020-06-06,-0.1352
2020-06-07,-0.1386
2020-06-08,-0.142
2020-06-09,-0.1258
2020-06-10,-0.1096
2020-06-11,-0.0934
2020-06-12,-0.0772
2020-06-13,-0.061
2020-06-14,-0.0638
2020-06-15,-0.0666
2020-06-16,-0.0694
2020-06-17,-0.0722
2020-06-18,-0.075
2020-06-19,-0.07487
2020-06-20,-0.07473
2020-06-21,-0.0746
2020-06-22,-0.07447
2020-06-23,-0.07433
2020-06-24,-0.0742
2020-06-25,-0.07407
2020-06-26,-0.07393
2020-06-27,-0.0738
2020-06-28,-0.07367
2020-06-29,-0.07353
2020-06-30,-0.0734
2020-07-01,-0.07327
2020-07-02,-0.07313
2020-07-03,-0.073
2020-07-04,-0.072
2020-07-05,-0.071
2020-07-06,-0.07
2020-07-07,-0.069
2020-07-08,-0.068
2020-07-09,-0.067
2020-07-10,-0.066
2020-07-11,-0.065
2020-07-12,-0.064
2020-07-13,-0.063
2020-07-14,-0.06335
2020-07-15,-0.0637
2020-07-16,-0.06405
2020-07-17,-0.0644
2020-07-18,-0.06475
2020-07-19,-0.0651
2020-07-20,-0.06545
2020-07-21,-0.0658
2020-07-22,-0.06615
2020-07-23,-0.0665
2020-07-24,-0.06685
2020-07-25,-0.0672
2020-07-26,-0.06755
2020-07-27,-0.0679
2020-07-28,-0.06825
2020-07-29,-0.0686
2020-07-30,-0.06895
2020-07-31,-0.0693
2020-08-01,-0.06965
2020-08-02,-0.07
2020-08-03,-0.07195
2020-08-04,-0.0739
2020-08-05,-0.07585
2020-08-06,-0.0778
2020-08-07,-0.07975
2020-08-08,-0.0817
2020-08-09,-0.08365
2020-08-10,-0.0856
2020-08-11,-0.08755
2020-08-12,-0.0895
2020-08-13,-0.09145
2020-08-14,-0.0934
2020-08-15,-0.09535
2020-08-16,-0.0973
2020-08-17,-0.09925
2020-08-18,-0.1012
2020-08-19,-0.10315
2020-08-20,-0.1051
