Time,Population,Number of Cases,,,,Total Cases,Number of Deaths,,,,Total Death,Case Fatality Rate (CFR%),,,,Total CFR(%),Mortality Rate (in 100000 Population),,,,Total Mortality Rate
,,Cholera,Typhoid,Diarrhea,Hepatitis,,Cholera,Typhoid,Diarrhea,Hepatitis,,Cholera,Typhoid,Diarrhea,Hepatitis,,Cholera,Typhoid,Diarrhea,Hepatitis,
,,,,,,,,,,,,,,,,,,,,,
2011,11034555,501,42926,197998,8347,249772,26,23,94,68,211,5.189620758,0.053580581,0.047475227,0.814663951,6.105340517,0.235623457,0.208436135,0.851869423,0.616245966,1.912174981
2012,11034555,443,47957,202459,8184,259043,20,16,192,66,294,4.514672686,0.033363221,0.094834016,0.806451613,5.449321536,0.181248813,0.144999051,1.739988609,0.598121084,2.664357557
2013,11034555,339,32691,128245,8290,169565,108,46,92,131,377,31.85840708,0.140711511,0.07173769,1.580217129,33.65107341,0.978743592,0.416872271,0.833744542,1.187179728,3.416540132
2014,11034555,253,27339,125005,6965,159562,65,43,112,98,318,25.6916996,0.157284465,0.089596416,1.407035176,27.34561566,0.589058644,0.389684949,1.014993355,0.888119186,2.881856133
2015,11034555,238,30698,94774,9145,134855,43,10,157,87,297,18.06722689,0.032575412,0.165657248,0.95133953,19.21679908,0.389684949,0.090624407,1.422803185,0.788432338,2.691544879
2016,18000000,263,31225,102741,10323,144552,15,18,200,104,337,5.703422053,0.057646117,0.194664253,1.007459072,6.963191495,0.083333333,0.1,1.111111111,0.577777778,1.872222222
2017,18200000,111,18368,200496,13323,232298,5,9,122,190,326,4.504504505,0.048998258,0.060849094,1.426105232,6.040457088,0.027472527,0.049450549,0.67032967,1.043956044,1.791208791
2018,18400000,158,27148,210570,12383,250259,20,16,165,180,381,12.65822785,0.058936202,0.078358741,1.45360575,14.24912854,0.108695652,0.086956522,0.89673913,0.97826087,2.070652174
2019,18600000,84,17205,239575,6800,263664,7,12,207,70,296,8.333333333,0.069747167,0.086403005,1.029411765,9.51889527,0.037634409,0.064516129,1.112903226,0.376344086,1.591397849
2020,19000000,1,11416,96006,8931,116354,16,14,118,40,188,0,0.122634898,0.122908985,0.447878177,0.69342206,0.084210526,0.073684211,0.621052632,0.210526316,0.989473684
2021,19300000,94,14087,NR,3960,18141,4,20,179,46,249,4.255319149,0.14197487,NR,1.161616162,5.558910181,0.020725389,0.103626943,0.92746114,0.238341969,1.29015544
2022,19500000,67,14256,NR,745,15068,5,23,274,0,302,7.462686567,0.161335578,NR,0,7.624022145,0.025641026,0.117948718,1.405128205,0,1.548717949
2023,19800000,87,22969,NR,2257,25313,20,36,292,0,348,22.98850575,0.156732988,NR,0,23.14523874,0.101010101,0.181818182,1.474747475,0,1.757575758
2024,20200000,387,33413,NR,4578,38378,7,15,271,0,293,1.80878553,0.044892706,NR,0,1.853678236,0.034653465,0.074257426,1.341584158,0,1.45049505
2025,20500000,NR,36583,NR,5011,41594,0,0,0,0,0,NR,NR,NR,0,0,NR,NR,NR,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
